team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Stoke,17:00,4,1,1.31,5.09,10.19,1,0,0,1
Aston Villa,Newcastle,17:00,1,0,2.0,3.53,3.64,1,0,0,1
Blackburn,West Brom,17:00,0,0,1.9,3.46,4.16,0,1,0,0
Fulham,Everton,17:00,0,2,2.24,3.26,3.32,0,0,1,0
Hull,Manchester Utd,17:00,0,1,2.55,3.36,2.73,0,0,1,0
Liverpool,Tottenham,17:00,3,1,1.43,4.23,7.97,1,0,0,1
Manchester City,Bolton,17:00,1,0,1.74,3.56,5.01,1,0,0,1
Sunderland,Chelsea,17:00,2,3,5.09,3.65,1.73,0,0,1,1
West Ham,Middlesbrough,17:00,2,1,2.09,3.43,3.51,1,0,0,1
Wigan,Portsmouth,17:00,1,0,1.95,3.44,4.14,1,0,0,1
Portsmouth,Sunderland,21:00,3,1,2.38,3.17,3.06,1,0,0,1
Chelsea,Blackburn,17:00,2,0,1.26,5.34,13.31,1,0,0,1
West Brom,Liverpool,14:30,0,2,6.98,4.59,1.44,0,0,1,1
Bolton,Hull,16:00,1,1,2.14,3.31,3.47,0,1,0,0
Everton,West Ham,16:00,3,1,1.69,3.55,5.36,1,0,0,1
Middlesbrough,Aston Villa,16:00,1,1,2.57,3.41,2.67,0,1,0,0
Newcastle,Fulham,16:00,0,1,1.94,3.43,4.01,0,0,1,0
Stoke,Wigan,16:00,2,0,2.19,3.26,3.38,1,0,0,1
Tottenham,Manchester City,16:00,2,1,1.79,3.48,4.79,1,0,0,1
Manchester Utd,Arsenal,13:45,0,0,1.58,3.78,6.72,0,1,0,0
Wigan,Manchester Utd,21:00,1,2,11.83,5.1,1.29,0,0,1,1
Newcastle,Middlesbrough,21:00,3,1,2.01,3.38,3.8,1,0,0,1
Arsenal,Chelsea,17:00,1,4,2.71,3.24,2.64,0,0,1,1
Manchester Utd,Manchester City,14:30,2,0,1.33,5.14,10.0,1,0,0,1
West Ham,Liverpool,18:30,0,3,7.01,4.04,1.52,0,0,1,1
Blackburn,Portsmouth,16:00,2,0,2.05,3.24,3.83,1,0,0,1
Bolton,Sunderland,16:00,0,0,2.07,3.29,3.7,0,1,0,0
Everton,Tottenham,16:00,0,0,2.2,3.34,3.3,0,1,0,0
Fulham,Aston Villa,16:00,3,1,2.66,3.25,2.68,1,0,0,1
Hull,Stoke,16:00,1,2,2.07,3.26,3.76,0,0,1,0
West Brom,Wigan,16:00,3,1,2.31,3.32,3.1,1,0,0,1
Aston Villa,Hull,21:00,1,0,1.54,3.83,6.82,1,0,0,1
Sunderland,Everton,17:00,0,2,2.64,3.24,2.71,0,0,1,0
Liverpool,Newcastle,14:30,3,0,1.25,5.66,14.13,1,0,0,1
Chelsea,Fulham,16:00,3,1,1.46,3.89,8.49,1,0,0,1
Manchester City,Blackburn,16:00,3,1,2.0,3.31,3.94,1,0,0,1
Portsmouth,Arsenal,16:00,0,3,3.12,3.25,2.34,0,0,1,1
Stoke,West Ham,16:00,0,1,2.29,3.26,3.2,0,0,1,0
Tottenham,West Brom,16:00,1,0,1.47,4.2,7.3,1,0,0,1
Wigan,Bolton,16:00,0,0,2.05,3.32,3.72,0,1,0,0
Middlesbrough,Manchester Utd,13:45,0,2,6.4,3.79,1.57,0,0,1,1
Newcastle,Portsmouth,21:00,0,0,1.9,3.47,4.1,0,1,0,0
Blackburn,Wigan,17:00,2,0,2.18,3.23,3.47,1,0,0,1
Arsenal,Middlesbrough,14:30,2,0,1.46,4.16,7.74,1,0,0,1
Manchester Utd,Tottenham,18:30,5,2,1.45,4.14,7.94,1,0,0,1
Bolton,Aston Villa,16:00,1,1,3.05,3.28,2.37,0,1,0,0
Everton,Manchester City,16:00,1,2,1.79,3.48,4.7,0,0,1,0
Fulham,Stoke,16:00,1,0,1.69,3.53,5.44,1,0,0,1
West Brom,Sunderland,16:00,3,0,2.37,3.31,3.0,1,0,0,1
West Ham,Chelsea,16:00,0,1,4.49,3.4,1.86,0,0,1,1
Hull,Liverpool,16:00,1,3,9.5,4.51,1.36,0,0,1,1
Chelsea,Everton,21:00,0,0,1.42,4.2,9.29,0,1,0,0
Manchester Utd,Portsmouth,21:00,2,0,1.23,5.58,15.35,1,0,0,1
Liverpool,Arsenal,21:00,4,4,1.69,3.6,5.3,0,1,0,0
Manchester City,West Brom,16:00,4,2,1.73,3.5,5.02,1,0,0,1
Tottenham,Newcastle,14:30,1,0,1.64,3.67,5.7,1,0,0,1
Aston Villa,West Ham,16:00,1,1,1.63,3.64,5.93,0,1,0,0
Middlesbrough,Fulham,16:00,0,0,2.23,3.23,3.33,0,1,0,0
Portsmouth,Bolton,16:00,1,0,2.03,3.27,3.87,1,0,0,1
Stoke,Blackburn,16:00,1,0,2.42,3.18,3.03,1,0,0,1
Sunderland,Hull,16:00,1,0,1.85,3.39,4.45,1,0,0,1
Manchester City,Fulham,17:10,1,3,2.1,3.2,3.73,0,0,1,0
Aston Villa,Everton,15:00,3,3,2.28,3.25,3.23,0,1,0,0
Stoke,Newcastle,18:30,1,1,2.4,3.25,2.99,0,1,0,0
Chelsea,Bolton,16:00,4,3,1.26,5.15,14.04,1,0,0,1
Middlesbrough,Hull,16:00,3,1,2.09,3.32,3.62,1,0,0,1
Portsmouth,West Brom,16:00,2,2,1.73,3.5,5.08,0,1,0,0
Sunderland,Manchester Utd,16:00,1,2,7.5,3.97,1.48,0,0,1,1
Tottenham,West Ham,16:00,1,0,1.67,3.58,5.72,1,0,0,1
Wigan,Arsenal,16:00,1,4,4.58,3.37,1.83,0,0,1,1
Liverpool,Blackburn,13:45,4,0,1.34,4.62,10.25,1,0,0,1
Manchester Utd,Aston Villa,17:00,3,2,1.4,4.22,9.02,1,0,0,1
Everton,Wigan,16:00,4,0,1.78,3.43,4.84,1,0,0,1
Fulham,Liverpool,18:30,0,1,5.99,3.7,1.6,0,0,1,1
Arsenal,Manchester City,16:00,2,0,1.51,3.83,7.08,1,0,0,1
Bolton,Middlesbrough,16:00,4,1,2.06,3.28,3.66,1,0,0,1
Hull,Portsmouth,16:00,0,0,2.6,3.23,2.72,0,1,0,0
Newcastle,Chelsea,16:00,0,2,5.58,3.56,1.64,0,0,1,1
West Brom,Stoke,16:00,0,2,2.13,3.27,3.49,0,0,1,0
West Ham,Sunderland,16:00,2,0,2.06,3.25,3.67,1,0,0,1
Blackburn,Tottenham,13:45,2,1,2.57,3.25,2.73,1,0,0,1
Liverpool,Aston Villa,17:00,5,0,1.47,3.9,7.54,1,0,0,1
Manchester City,Sunderland,16:00,1,0,1.6,3.59,6.04,1,0,0,1
Wigan,Hull,14:30,1,0,1.76,3.4,4.88,1,0,0,1
Newcastle,Arsenal,18:30,1,3,5.18,3.52,1.68,0,0,1,1
Blackburn,West Ham,16:00,1,1,2.02,3.28,3.71,0,1,0,0
Fulham,Manchester Utd,16:00,2,0,7.74,3.99,1.45,1,0,0,0
Stoke,Middlesbrough,16:00,1,0,2.29,3.24,3.07,1,0,0,1
Tottenham,Chelsea,16:00,1,0,4.08,3.35,1.89,1,0,0,0
West Brom,Bolton,16:00,1,1,2.35,3.24,2.95,0,1,0,0
Portsmouth,Everton,13:45,2,1,2.75,3.19,2.53,1,0,0,0
West Ham,West Brom,21:00,0,0,1.86,3.4,4.41,0,1,0,0
Aston Villa,Tottenham,17:00,1,2,2.07,3.22,3.74,0,0,1,0
Chelsea,Manchester City,14:30,1,0,1.37,4.37,10.22,1,0,0,1
Arsenal,Blackburn,16:00,4,0,1.44,4.04,8.57,1,0,0,1
Bolton,Fulham,16:00,1,3,2.09,3.25,3.66,0,0,1,0
Everton,Stoke,16:00,3,1,1.5,3.81,7.56,1,0,0,1
Hull,Newcastle,16:00,1,1,2.47,3.28,2.86,0,1,0,0
Middlesbrough,Portsmouth,16:00,1,1,2.23,3.21,3.38,0,1,0,0
Sunderland,Wigan,16:00,1,2,2.34,3.2,3.16,0,0,1,0
Manchester Utd,Liverpool,13:45,1,4,1.93,3.15,4.52,0,0,1,0
Fulham,Blackburn,21:00,1,2,2.27,3.24,3.25,0,0,1,0
Sunderland,Tottenham,16:00,1,1,2.9,3.26,2.46,0,1,0,0
Blackburn,Everton,21:00,0,0,2.62,3.16,2.77,0,1,0,0
Fulham,Hull,21:00,0,1,1.68,3.53,5.59,0,0,1,0
Tottenham,Middlesbrough,21:00,4,0,1.73,3.48,5.15,1,0,0,1
Manchester City,Aston Villa,20:45,2,0,2.74,3.25,2.58,1,0,0,0
Newcastle,Manchester Utd,20:45,1,2,8.94,4.09,1.42,0,0,1,1
Stoke,Bolton,20:45,2,0,2.44,3.21,2.95,1,0,0,1
Wigan,West Ham,20:45,0,1,2.01,3.26,3.84,0,0,1,0
Liverpool,Sunderland,21:00,2,0,1.44,4.01,8.7,1,0,0,1
Portsmouth,Chelsea,20:45,0,1,6.74,3.66,1.58,0,0,1,1
West Brom,Arsenal,20:45,1,3,6.0,3.6,1.63,0,0,1,1
Aston Villa,Stoke,16:00,2,2,1.4,4.19,9.6,0,1,0,0
Bolton,Newcastle,14:00,1,0,2.01,3.27,3.94,1,0,0,1
Hull,Blackburn,13:30,1,2,2.85,3.25,2.51,0,0,1,1
West Ham,Manchester City,13:30,1,0,2.5,3.26,2.85,1,0,0,1
Arsenal,Fulham,16:00,0,0,1.42,4.09,8.9,0,1,0,0
Chelsea,Wigan,16:00,2,1,1.32,4.63,12.21,1,0,0,1
Middlesbrough,Liverpool,16:00,2,0,4.97,3.36,1.79,1,0,0,0
Everton,West Brom,13:45,2,0,1.49,3.9,7.69,1,0,0,1
Hull,Tottenham,21:00,1,2,3.31,3.25,2.23,0,0,1,1
Newcastle,Everton,17:00,0,0,2.98,3.2,2.45,0,1,0,0
Liverpool,Manchester City,16:00,1,1,1.57,3.64,6.52,0,1,0,0
Fulham,West Brom,14:30,2,0,1.85,3.43,4.4,1,0,0,1
Manchester Utd,Blackburn,18:30,2,1,1.25,5.26,13.9,1,0,0,1
Arsenal,Sunderland,16:00,0,0,1.37,4.39,10.47,0,1,0,0
Bolton,West Ham,16:00,2,1,2.23,3.25,3.3,1,0,0,1
Middlesbrough,Wigan,16:00,0,0,2.46,3.23,2.94,0,1,0,0
Stoke,Portsmouth,16:00,2,2,2.64,3.22,2.72,0,1,0,0
Aston Villa,Chelsea,13:45,0,1,3.38,3.25,2.21,0,0,1,1
Manchester Utd,Fulham,21:00,3,0,1.21,5.73,17.5,1,0,0,1
Portsmouth,Manchester City,16:00,2,0,2.7,3.25,2.63,1,0,0,0
West Ham,Manchester Utd,17:00,0,1,6.28,3.67,1.59,0,0,1,1
Tottenham,Arsenal,14:30,0,0,3.15,3.19,2.33,0,1,0,0
Portsmouth,Liverpool,18:30,2,3,4.34,3.27,1.92,0,0,1,1
Blackburn,Aston Villa,16:00,0,2,2.81,3.27,2.53,0,0,1,1
Chelsea,Hull,16:00,0,0,1.2,6.24,16.0,0,1,0,0
Everton,Bolton,16:00,3,0,1.73,3.41,5.23,1,0,0,1
Sunderland,Stoke,16:00,2,0,1.79,3.36,4.63,1,0,0,1
West Brom,Newcastle,16:00,2,3,2.01,3.42,3.8,0,0,1,0
Wigan,Fulham,16:00,0,0,1.96,3.26,4.11,0,1,0,0
Manchester City,Middlesbrough,13:45,1,0,1.58,3.7,6.37,1,0,0,1
Liverpool,Chelsea,17:00,2,0,2.46,3.1,3.06,1,0,0,1
Newcastle,Sunderland,14:30,1,1,2.57,3.16,2.83,0,1,0,0
Manchester Utd,Everton,18:30,1,0,1.38,4.31,9.51,1,0,0,1
Arsenal,West Ham,16:00,0,0,1.48,4.1,7.23,0,1,0,0
Aston Villa,Wigan,16:00,0,0,1.7,3.5,5.4,0,1,0,0
Bolton,Tottenham,16:00,3,2,2.75,3.27,2.57,1,0,0,0
Fulham,Portsmouth,16:00,3,1,1.93,3.33,4.18,1,0,0,1
Hull,West Brom,16:00,2,2,2.19,3.26,3.39,0,1,0,0
Middlesbrough,Blackburn,16:00,0,0,2.48,3.29,2.86,0,1,0,0
Stoke,Manchester City,13:45,1,0,3.41,3.31,2.18,1,0,0,0
Blackburn,Bolton,21:00,2,2,1.95,3.25,4.19,0,1,0,0
Everton,Arsenal,21:00,1,1,2.96,3.19,2.47,0,1,0,0
West Ham,Hull,21:00,2,0,1.74,3.55,5.03,1,0,0,1
Chelsea,Middlesbrough,20:45,2,0,1.23,6.04,15.6,1,0,0,1
Manchester City,Newcastle,20:45,2,1,1.62,3.72,5.87,1,0,0,1
Wigan,Liverpool,20:45,1,1,5.4,3.48,1.7,0,1,0,0
West Brom,Manchester Utd,21:15,0,5,10.11,4.57,1.35,0,0,1,1
Portsmouth,Aston Villa,21:00,0,1,3.15,3.24,2.31,0,0,1,1
Tottenham,Stoke,21:00,3,1,1.59,3.69,6.43,1,0,0,1
Sunderland,Fulham,20:45,1,0,2.27,3.21,3.27,1,0,0,1
Liverpool,Everton,21:00,1,1,1.62,3.5,6.45,0,1,0,0
Tottenham,Portsmouth,17:00,1,1,1.64,3.67,5.78,0,1,0,0
West Ham,Fulham,14:30,3,1,2.25,3.21,3.32,1,0,0,1
Hull,Arsenal,18:30,1,3,5.73,3.78,1.61,0,0,1,1
Blackburn,Newcastle,16:00,3,0,1.84,3.46,4.46,1,0,0,1
Bolton,Manchester Utd,16:00,0,1,8.48,3.95,1.46,0,0,1,1
Chelsea,Stoke,16:00,2,1,1.19,6.2,15.6,1,0,0,1
Manchester City,Wigan,16:00,1,0,2.12,3.3,3.5,1,0,0,1
Sunderland,Aston Villa,16:00,1,2,3.26,3.26,2.24,0,0,1,1
West Brom,Middlesbrough,16:00,3,0,2.21,3.34,3.24,1,0,0,1
Manchester Utd,Wigan,21:00,1,0,1.24,5.57,14.08,1,0,0,1
Manchester Utd,Chelsea,17:00,3,0,2.27,3.13,3.38,1,0,0,1
Wigan,Tottenham,14:30,1,0,2.4,3.24,2.98,1,0,0,1
Stoke,Liverpool,18:30,0,0,9.48,4.5,1.37,0,1,0,0
Arsenal,Bolton,16:00,1,0,1.35,4.62,10.88,1,0,0,1
Everton,Hull,16:00,2,0,1.59,3.72,6.38,1,0,0,1
Middlesbrough,Sunderland,16:00,1,1,2.24,3.23,3.13,0,1,0,0
Newcastle,West Ham,16:00,2,2,2.34,3.21,3.12,0,1,0,0
Aston Villa,West Brom,13:45,2,1,1.5,3.98,7.26,1,0,0,1
Hull,Aston Villa,21:00,0,1,4.03,3.44,1.95,0,0,1,1
Manchester Utd,Middlesbrough,21:00,1,0,1.2,6.47,17.8,1,0,0,1
Blackburn,Manchester City,17:15,2,2,2.63,3.31,2.71,0,1,0,0
Arsenal,Portsmouth,15:00,1,0,1.36,4.79,10.2,1,0,0,1
Bolton,Wigan,15:00,0,1,2.36,3.27,3.16,0,0,1,0
Everton,Sunderland,15:00,3,0,1.75,3.56,5.12,1,0,0,1
